block_num, xor_total_fee, xor_referrer_estimated, xor_burned_estimated, xor_dedicated_for_buy_back, val_burned, val_reminted_parliament
412, 12335372000000000, 1233537200000000, 4934148800000000, 6167686000000000, 0, 0
488, 2235849000000000, 223584900000000, 894339600000000, 1117924500000000, 0, 0
492, 5083967000000000, 508396700000000, 2033586800000000, 2541983500000000, 0, 0
495, 6027231000000000, 602723100000000, 2410892400000000, 3013615500000000, 0, 0
497, 2766596000000000, 276659600000000, 1106638400000000, 1383298000000000, 0, 0
1530, 2235849000000000, 223584900000000, 894339600000000, 1117924500000000, 0, 0
1537, 15183826000000000, 1518382600000000, 6073530400000000, 7591913000000000, 0, 0
1592, 2235849000000000, 223584900000000, 894339600000000, 1117924500000000, 0, 0
1602, 15183826000000000, 1518382600000000, 6073530400000000, 7591913000000000, 0, 0
1644, 2235849000000000, 223584900000000, 894339600000000, 1117924500000000, 0, 0
1650, 15183826000000000, 1518382600000000, 6073530400000000, 7591913000000000, 0, 0
1786, 2235849000000000, 223584900000000, 894339600000000, 1117924500000000, 0, 0
1794, 15183826000000000, 1518382600000000, 6073530400000000, 7591913000000000, 0, 0
1843, 2235849000000000, 223584900000000, 894339600000000, 1117924500000000, 0, 0
1851, 15183826000000000, 1518382600000000, 6073530400000000, 7591913000000000, 0, 0
1902, 2235849000000000, 223584900000000, 894339600000000, 1117924500000000, 0, 0
1919, 15183826000000000, 1518382600000000, 6073530400000000, 7591913000000000, 0, 0
1974, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 0, 0
2007, 50660225000000000, 5066022500000000, 20264090000000000, 25330112500000000, 0, 0
2013, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 1459460338504117, 145946033850412
2045, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 1424876724359656, 142487672435966
2059, 50660225000000000, 5066022500000000, 20264090000000000, 25330112500000000, 54859152721677959, 5485915272167796
2151, 2235849000000000, 223584900000000, 894339600000000, 1117924500000000, 1277450775953251, 127745077595325
2160, 2235849000000000, 223584900000000, 894339600000000, 1117924500000000, 1227435773131494, 122743577313149
2174, 15183826000000000, 1518382600000000, 6073530400000000, 7591913000000000, 7213456636484403, 721345663648440
2212, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 291950473007563, 29195047300756
2315, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 288825550065935, 28882555006593
2385, 2235849000000000, 223584900000000, 894339600000000, 1117924500000000, 902170104493673, 90217010449367
2391, 2235849000000000, 223584900000000, 894339600000000, 1117924500000000, 872346270876317, 87234627087632
2406, 15183826000000000, 1518382600000000, 6073530400000000, 7591913000000000, 5238260419372264, 523826041937226
2459, 15183826000000000, 1518382600000000, 6073530400000000, 7591913000000000, 4277881651156238, 427788165115624
2468, 2235849000000000, 223584900000000, 894339600000000, 1117924500000000, 564560808805288, 56456080880529
2480, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 174342531882906, 17434253188291
2519, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 174230326378326, 17423032637833
2531, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 174118229160792, 17411822916079
2561, 7000000000000000, 700000000000000, 2800000000000000, 3500000000000000, 1735040668484530, 173504066848453
2598, 7000000000000000, 700000000000000, 2800000000000000, 3500000000000000, 1723949035126247, 172394903512625
2618, 7000000000000000, 700000000000000, 2800000000000000, 3500000000000000, 1712963421490286, 171296342149029
2722, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 170749395560810, 17074939556081
2727, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 170747063357857, 17074706335786
2746, 50660225000000000, 5066022500000000, 20264090000000000, 25330112500000000, 12351074878251594, 1235107487825159
2802, 7000000000000000, 700000000000000, 2800000000000000, 3500000000000000, 1705655974614411, 170565597461441
2803, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 184476749368185, 18447674936818
2824, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 526506884219428, 52650688421943
2831, 7000000000000000, 700000000000000, 2800000000000000, 3500000000000000, 5264374383986556, 526437438398656
2883, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 947543232264092, 94754323226409
2889, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 1115215836097905, 111521583609790
2890, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 1115176908370606, 111517690837061
2891, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 1296491856661858, 129649185666186
2892, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 1296443061758950, 129644306175895
2893, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 1296394269610665, 129639426961066
2894, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 1922315922198047, 192231592219805
2900, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 69943196372009642, 6994319637200964
2900, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 69923865110062413, 6992386511006241
2908, 7000000000000000, 700000000000000, 2800000000000000, 3500000000000000, 698177192408783266, 69817719240878327
2923, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 69711749127386889, 6971174912738689
2924, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 69692513732292020, 6969251373229202
2925, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 69673286297463307, 6967328629746331
2926, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 69654066818509048, 6965406681850905
2929, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 69634855291040568, 6963485529104057
2932, 7000000000000000, 700000000000000, 2800000000000000, 3500000000000000, 695293665094658748, 69529366509465875
2932, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 69424052034811674, 6942405203481167
2941, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 69404935583954828, 6940493558395483
2945, 7000000000000000, 700000000000000, 2800000000000000, 3500000000000000, 692999685728888957, 69299968572888896
2950, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 69195174720460600, 6919517472046060
2953, 7000000000000000, 700000000000000, 2800000000000000, 3500000000000000, 690906829804432288, 69090682980443229
2953, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 68986363354766048, 6898636335476605
2955, 7000000000000000, 700000000000000, 2800000000000000, 3500000000000000, 688823440208703915, 68882344020870391
2960, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 68778495764878153, 6877849576487815
2967, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 68759645313448748, 6875964531344875
2970, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 68740802610607627, 6874080261060763
2975, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 68721967652108568, 6872196765210857
2982, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 68703140433708257, 6870314043370826
3010, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 68684320951166288, 6868432095116629
3016, 700000000000000, 70000000000000, 280000000000000, 350000000000000, 68665509200245157, 6866550920024516
