block_num, xor_spent, pswap_gross_burn, pswap_reminted_lp, pswap_reminted_parliament, pswap_net_burn
16407, 9601498697650408161, 42707840729333810330586, 38421809957260057127239, 4270784072933381033058, 15246699140372170289
16459, 27459639608746534278, 120796350511918325745753, 108673591163593738328886, 12079635051191832574575, 43124297132754842292
17146, 11164463879742676053, 47722403431122184702599, 42933126189985055612400, 4772240343112218470259, 17036898024910619940
17570, 19600236772172981094, 82805045637711757813826, 74494979672647918934903, 8280504563771175781382, 29561401292663097541
18639, 2438379852532084843, 10166079803256493278972, 9145842532441081382974, 1016607980325649327897, 3629290489762568101
25771, 76909961132431803, 260556680597274626829, 234407993802573937104, 26055668059727462682, 93018734973227043
25789, 42495216021467662, 143716872533254359721, 129293878356434551942, 14371687253325435972, 51306923494371807
26121, 29509705472389581, 98737838291215654969, 88828805053824125483, 9873783829121565496, 35249408269963990
26846, 48228232591573480, 160734567430407717222, 144603728446794289944, 16073456743040771722, 57382240572655556
30807, 2685450068182447280, 7947640755575076627565, 7147202064518088360096, 794764075557507662756, 5674615499480604713
30859, 9715103455823726220, 28578960060148826513997, 25700658676650997600466, 2857896006014882651399, 20405377482946262132
31546, 2879488300516333373, 8460292752087385028553, 7608222827853656132787, 846029275208738502855, 6040649024990392911
31970, 6994525689147116024, 20421914968437280767933, 18365142224306088472671, 2042191496843728076793, 14581247287464218469
33039, 599100000000000, 1772794082399312593, 1594248899184548224, 177279408239931259, 1265774974833110
43766, 159430145407244, 482513997988360434, 433745825697678856, 48251399798836043, 516772491845535
45207, 2559967628419252215, 7746478017308003852013, 6963533737620666594686, 774647801730800385201, 8296477956536872126
45259, 7132693944277839166, 21551462753806046159205, 19373234861816115267847, 2155146275380604615920, 23081616609326275438
45946, 2191840692029727775, 6684152588322986430110, 6008578602068593868632, 668415258832298643011, 7158727422093918467
46370, 3829898224971909031, 11578203615945776030946, 10407982998278520501722, 1157820361594577603094, 12400256072677926130
59607, 1046522607794713809, 3321443426678409075484, 2984556062797271399775, 332144342667840907548, 4743021213296768161
59659, 4316838418211124471, 13691010392919179316449, 12302358590786172796740, 1369101039291917931644, 19550762841088588065
60346, 2850371293351025066, 9052012528806370263612, 8133885002034597740514, 905201252880637026361, 12926273891135496737
60770, 2447593803879542395, 7766453666847456048461, 6978717804326452276377, 776645366684745604846, 11090495836258167238
61097, 512906062322955, 1615760210242114366, 1451876883637677190, 161576021024211436, 2307305580225740
61839, 30090270812437, 94896739026282553, 85271552580324766, 9489673902628255, 135512543329532
70839, 36253338328237, 115094483131051917, 103420679896035583, 11509448313105191, 164354921911143
74007, 1080327222461735420, 3320621435409612707281, 2982631982606445277870, 332062143540961270728, 5927309262206158683
74059, 6664676543227119201, 20589185567071960629977, 18493515314127541117254, 2058918556707196062997, 36751696237223449726
74746, 2850467856093841378, 8934931745928391825974, 8025489718169070463967, 893493174592839182597, 15948853166482179410
75170, 4636509505562111234, 15798431066445536404811, 14190387760347377481847, 1579843106644553640481, 28200199453605282483
76239, 356900493737085, 1162593668386444649, 1044259071849730380, 116259366838644464, 2075229698069805
83371, 2165886479715, 5775314843555851, 5187474422204518, 577531484355585, 10308936995748
84446, 2875680000000000, 6748581435783851190, 6061677074342591896, 674858143578385119, 12046217862874175
85239, 37448838781308, 87360109246692492, 78468160527017896, 8736010924669249, 155937795005347
88407, 10607973528696885360, 22467964512946812704440, 20173041681665399361183, 2246796451294681270444, 48126379986732072813
88459, 38356344336372135749, 80521731056058411773235, 72297080402530493477893, 8052173105605841177323, 172477547922077118019
89146, 12470621036007461207, 26033671630496806675053, 23374540342814601847649, 2603367163049680667505, 55764124632524159899
89570, 20426596615590909968, 42553486118640812357012, 38206987939510602501242, 4255348611864081235701, 91149567266128620069
90639, 59910000000000, 120053059000996465, 107790599448516684, 12005305900099646, 257153652380135
95572, 524322392821171266, 940094743343386778817, 844071586068806566455, 94009474334338677881, 2013682940241534481
96400, 45105228752380910, 79616856327626300303, 71484631388609894737, 7961685632762630030, 170539306253775536
97789, 1751169300000000, 3410369486696189899, 3062027526586067670, 341036948669618989, 7305011440503240
99639, 929390481544800, 1832361750765241040, 1645200656818577789, 183236175076524104, 3924918870139147
100275, 2000000000000001, 4079058681438636038, 3662415469599130875, 407905868143863603, 8737343695641560
102807, 9243274672540216546, 18887485109884532821995, 16951536773606478092273, 1888748510988453282199, 47199825289601447523
